t_start;uax;uay;uaz;ax;ay;az;gx;gy;gz;temp_imu;p;h;trigger
213.945;0.2;-0.7;0.5;0.0693359375;-0.8427734375;0.53515625;0.0103319783198;-0.00660569105691;-0.00169376693767;24.9320655499;96657.5788207;376.796853023;0
213.952;0.2;-0.7;0.5;0.0673828125;-0.8466796875;0.5224609375;0.0111788617886;-0.00575880758808;-0.000338753387534;24.9320655499;96657.5788207;376.796853023;0
213.961;0.25;-0.6;0.6;0.0546875;-0.841796875;0.54443359375;0.0111788617886;-0.00474254742547;0.00186314363144;24.9320655499;96657.5788207;376.796853023;0
213.969;0.25;-0.625;0.5875;0.06689453125;-0.83740234375;0.5478515625;0.00914634146341;-0.00338753387534;0.00338753387534;24.9320655499;96649.9067596;377.431073344;0
213.979;0.25;-0.7;0.55;0.06689453125;-0.8466796875;0.55078125;0.00575880758808;-0.0030487804878;0.00457317073171;24.9257352315;96648.6009669;377.539023316;0
213.987;0.175;-0.7;0.5875;0.05859375;-0.84423828125;0.54296875;0.00321815718157;-0.00220189701897;0.00609756097561;24.9257352315;96648.6009669;377.539023316;0
213.999;0.15;-0.7;0.6;0.06494140625;-0.84228515625;0.54443359375;0.000169376693767;-0.0020325203252;0.00592818428184;24.9257352315;96648.6009669;377.539023316;0
214.007;0.2;-0.7;0.55;0.06103515625;-0.84375;0.54931640625;-0.0020325203252;-0.0025406504065;0.00592818428184;24.9257352315;96650.1353578;377.41217527;0
214.016;0.2125;-0.7;0.5625;0.0478515625;-0.84375;0.5537109375;-0.00558943089431;-0.00220189701897;0.00525067750678;24.9320655499;96651.4411714;377.304225287;0
214.023;0.25;-0.7;0.6;0.05712890625;-0.84619140625;0.5390625;-0.00863821138211;-0.0030487804878;0.00440379403794;24.9320655499;96651.4411714;377.304225287;0
214.033;0.175;-0.625;0.6;0.0439453125;-0.85009765625;0.54833984375;-0.00982384823848;-0.00338753387534;0.0020325203252;24.9320655499;96651.4411714;377.304225287;0
214.041;0.15;-0.6;0.6;0.04638671875;-0.84814453125;0.5458984375;-0.0120257452575;-0.00406504065041;0.00118563685637;24.9320655499;96653.3591864;377.145668023;0
214.051;0.25;-0.65;0.6;0.0615234375;-0.8369140625;0.5556640625;-0.0165989159892;-0.00389566395664;0.00118563685637;24.9320655499;96653.3591864;377.145668023;0
