millis,ax,ay,az,gx,gy,gz,mx,my,mz,temp,alt,pitch,yaw,roll
17980,0.00,0.00,-1.00,0.06,-0.18,0.06,305.47,325.40,-25.74,26.32,1552.28,0.03,40.83,179.82
18004,0.00,0.00,-1.00,0.00,-0.18,0.00,308.62,325.40,-37.86,26.30,1552.71,0.01,40.90,179.79
18028,-0.00,0.00,-1.00,-0.06,-0.24,0.06,308.62,325.40,-37.86,26.29,1553.35,0.04,40.95,179.81
18053,-0.00,0.00,-1.00,-0.06,-0.18,0.12,308.62,325.40,-37.86,26.30,1549.40,0.05,41.00,179.84
18077,-0.00,0.00,-1.00,0.00,-0.18,0.12,308.62,325.40,-37.86,26.30,1552.62,0.06,41.03,179.83
18100,0.00,0.00,-1.01,-0.06,-0.18,0.06,308.62,325.40,-37.86,26.30,1552.16,0.03,41.06,179.83
18124,-0.00,0.00,-1.00,0.06,-0.06,0.06,299.17,319.09,-22.71,26.32,1552.40,0.04,41.02,179.84
18148,-0.00,0.00,-1.00,-0.06,-0.18,0.00,299.17,319.09,-22.71,26.31,1550.32,0.04,40.99,179.80
18172,-0.00,0.00,-1.00,0.06,-0.18,0.06,299.17,319.09,-22.71,26.32,1551.76,0.03,40.96,179.82
18197,-0.00,0.00,-1.01,0.06,-0.18,0.00,299.17,319.09,-22.71,26.33,1549.25,0.06,40.94,179.78
18221,-0.00,0.00,-1.00,0.06,-0.24,-0.06,299.17,319.09,-22.71,26.29,1551.64,0.06,40.93,179.82
18244,-0.00,0.00,-1.00,0.06,-0.12,0.00,313.35,314.35,-30.28,26.31,1551.79,0.08,41.22,179.80
18268,0.00,0.00,-1.00,-0.06,-0.12,0.00,313.35,314.35,-30.28,26.32,1550.93,0.04,41.47,179.80
18292,-0.00,0.00,-1.01,0.06,-0.18,0.06,313.35,314.35,-30.28,26.30,1551.85,0.04,41.67,179.80
18317,-0.00,0.00,-1.01,0.00,-0.18,0.00,313.35,314.35,-30.28,26.30,1550.90,0.05,41.85,179.79
18341,0.00,0.01,-1.00,0.00,-0.12,0.00,313.35,314.35,-30.28,26.31,1550.44,0.03,41.99,179.75
18364,-0.00,0.00,-1.00,0.12,-0.18,0.00,296.02,315.93,-25.74,26.30,1553.07,0.06,41.75,179.78
18388,-0.00,0.00,-1.00,0.06,-0.18,0.18,296.02,315.93,-25.74,26.32,1552.61,0.10,41.55,179.84
18412,-0.00,0.00,-1.00,0.00,-0.18,0.12,296.02,315.93,-25.74,26.32,1553.32,0.11,41.40,179.85
18435,-0.00,0.00,-1.00,0.00,-0.12,0.00,296.02,315.93,-25.74,26.31,1553.19,0.07,41.29,179.82
18460,0.00,0.00,-1.00,-0.06,-0.24,0.00,296.02,315.93,-25.74,26.32,1550.23,0.01,41.19,179.85
18484,0.00,0.00,-1.00,0.06,-0.18,0.12,296.02,315.93,-25.74,26.32,1550.96,-0.06,41.12,179.87
18508,-0.00,0.00,-1.00,0.06,-0.18,0.06,303.90,323.82,-27.26,26.33,1553.32,0.00,41.07,179.87
18532,-0.00,0.00,-1.00,0.12,-0.18,0.00,303.90,323.82,-27.26,26.31,1549.47,0.03,41.03,179.88
18555,0.00,0.00,-1.01,-0.06,-0.06,0.06,303.90,323.82,-27.26,26.30,1552.12,0.01,41.01,179.87
18585,0.00,0.00,-1.00,0.00,-0.18,0.00,303.90,323.82,-27.26,26.28,1552.21,-0.02,40.98,179.81
18609,0.00,0.00,-1.01,0.00,-0.18,0.00,303.90,323.82,-27.26,26.34,1551.42,-0.03,40.96,179.85
18632,0.00,0.00,-1.01,-0.06,-0.06,0.06,302.32,315.93,-16.66,26.33,1552.21,-0.03,41.06,179.83
18656,-0.00,0.00,-1.00,0.06,-0.18,0.06,302.32,315.93,-16.66,26.32,1551.17,0.03,41.13,179.82
18680,-0.00,0.00,-1.00,0.00,-0.12,0.06,302.32,315.93,-16.66,26.32,1551.14,0.08,41.20,179.82
18703,0.00,0.00,-1.00,0.00,-0.12,-0.06,302.32,315.93,-16.66,26.31,1551.63,0.04,41.25,179.82
18729,-0.00,0.00,-1.01,0.00,-0.12,-0.06,302.32,315.93,-16.66,26.32,1552.24,0.03,41.29,179.81
18752,-0.00,0.00,-1.00,0.12,-0.18,0.00,307.05,311.19,-39.37,26.33,1555.39,0.04,41.48,179.82
18776,0.00,0.00,-1.00,-0.06,-0.06,0.00,307.05,311.19,-39.37,26.32,1552.80,0.02,41.63,179.83
18800,0.00,0.00,-1.00,-0.06,-0.12,-0.06,307.05,311.19,-39.37,26.32,1551.87,-0.02,41.75,179.81
18823,-0.00,0.00,-1.00,0.06,-0.12,0.06,307.05,311.19,-39.37,26.33,1550.50,0.01,41.85,179.81
18848,-0.00,0.00,-1.01,0.00,-0.18,0.06,307.05,311.19,-39.37,26.30,1552.39,0.02,41.94,179.79
18872,0.00,0.00,-1.00,-0.12,-0.18,0.00,316.49,320.66,-39.37,26.34,1549.27,0.00,42.02,179.78
18896,-0.00,0.00,-1.00,0.00,-0.12,0.00,316.49,320.66,-39.37,26.32,1551.47,0.02,42.07,179.77
